 ,Area,Mean,StdDev,Min,Max,Circ.,AR,Round,Solidity
1,433,190.855,30.305,128,232,0.630,2.075,0.482,0.860
2,185,179.286,21.883,128,224,0.763,1.778,0.562,0.951
3,658,205.617,29.381,128,248,0.872,1.068,0.936,0.967
4,434,217.327,36.061,128,248,0.884,1.064,0.940,0.959
5,477,212.143,29.904,128,248,0.821,1.570,0.637,0.968
6,285,204.295,36.565,128,248,0.926,1.153,0.867,0.938
7,81,161.481,19.478,128,200,0.971,1.204,0.830,0.926
8,278,174.849,25.472,128,224,0.854,1.389,0.720,0.919
9,231,188.468,30.600,128,240,0.936,1.141,0.877,0.941
10,30,147.200,13.053,128,168,0.406,4.338,0.230,0.870
11,501,189.142,25.482,128,232,0.921,1.075,0.930,0.948
12,660,171.697,20.530,128,232,0.858,1.337,0.748,0.952
13,99,165.253,21.233,128,200,0.971,1.269,0.788,0.943
14,228,195.895,37.354,128,248,0.924,1.142,0.876,0.940
15,448,209.036,35.670,128,248,0.915,1.207,0.828,0.947
16,401,179.571,26.013,128,232,0.658,2.499,0.400,0.890
17,520,193.985,29.256,128,248,0.912,1.182,0.846,0.952
18,425,195.953,31.439,128,248,0.881,1.451,0.689,0.953
19,271,199.970,35.220,128,248,0.881,1.348,0.742,0.922
20,350,190.491,26.851,128,232,0.930,1.168,0.856,0.943
21,159,183.346,29.235,128,224,0.933,1.225,0.816,0.930
22,412,186.350,26.013,128,224,0.906,1.106,0.904,0.945
23,426,201.840,36.423,128,248,0.699,1.810,0.553,0.869
24,260,179.385,28.135,128,240,0.909,1.153,0.867,0.932
25,506,198.277,28.788,128,248,0.822,1.677,0.596,0.961
26,289,187.875,30.281,128,240,0.922,1.131,0.884,0.935
27,676,198.994,28.433,128,240,0.780,1.483,0.675,0.909
28,175,195.749,28.105,128,232,0.777,1.763,0.567,0.951
29,361,197.208,29.108,128,232,0.921,1.222,0.818,0.945
30,545,198.385,30.277,128,240,0.907,1.225,0.817,0.949
31,610,189.718,28.131,128,232,0.605,2.748,0.364,0.848
32,14,138.857,9.206,128,152,1.000,1.020,0.981,0.933
33,641,192.624,33.036,128,248,0.709,1.936,0.517,0.884
34,195,181.005,28.183,128,232,0.938,1.147,0.872,0.929
35,593,210.604,34.557,128,248,0.935,1.090,0.918,0.960
36,22,147.636,15.364,128,176,0.922,1.464,0.683,0.863
37,268,189.045,27.288,128,232,0.937,1.294,0.773,0.954
38,902,198.137,31.340,128,248,0.648,2.517,0.397,0.908
39,473,205.564,31.612,128,248,0.781,1.743,0.574,0.946
40,239,191.598,32.966,128,232,0.921,1.213,0.824,0.939
41,167,183.856,29.875,128,232,0.909,1.291,0.775,0.933
42,413,179.177,25.860,128,232,0.881,1.375,0.727,0.951
43,415,199.634,32.825,128,248,0.866,1.246,0.802,0.937
44,244,187.016,29.576,128,248,0.913,1.138,0.879,0.930
45,377,195.247,31.282,128,240,0.901,1.285,0.778,0.952
46,652,200.160,32.191,128,240,0.919,1.115,0.897,0.962
47,379,208.042,38.499,128,248,0.914,1.149,0.871,0.948
48,578,200.886,29.321,128,240,0.917,1.050,0.952,0.956
49,69,185.739,35.110,128,232,0.571,2.965,0.337,0.885
50,170,181.224,28.776,128,232,0.939,1.358,0.736,0.932
51,472,167.169,25.866,128,232,0.745,2.042,0.490,0.922
52,613,219.915,37.720,128,248,0.868,1.354,0.739,0.942
53,543,189.068,24.894,128,216,0.908,1.320,0.757,0.953
54,204,199.608,32.805,128,240,0.649,2.221,0.450,0.938
55,555,217.139,36.977,128,248,0.916,1.073,0.932,0.954
56,858,197.277,30.121,128,248,0.833,1.564,0.639,0.949
57,281,189.779,30.815,128,232,0.896,1.322,0.756,0.927
58,215,184.037,28.631,128,224,0.909,1.307,0.765,0.929
59,3,130.667,4.619,128,136,1.000,1.464,0.683,0.857
60,1,128.000,0.000,128,128,1.000,1.000,1.000,1.000
61,81,183.407,34.682,128,248,0.567,3.082,0.324,0.910
62,90,181.511,25.599,128,216,0.461,4.095,0.244,0.933
63,53,188.377,38.799,128,248,0.527,2.859,0.350,0.891
64,49,172.898,28.743,128,224,0.456,4.277,0.234,0.883
